,precision,recall,f1-score,support
deposit,0.9862296007355973,0.9927177085529747,0.9894630188019742,450545.0
fee,0.9906387284474008,0.9998560037040278,0.9952260251091234,902801.0
purchase,0.9999548310269782,0.9933694011211942,0.9966512377918819,2696589.0
refund,1.0,1.0,1.0,10000.0
transfer,0.9723956284153006,0.986174042579604,0.9792363703599352,451108.0
withdrawal,0.9997000899730081,1.0,0.9998500224966255,10000.0
accuracy,0.9939111395312984,0.9939111395312984,0.9939111395312984,0.9939111395312984
macro avg,0.9914864797663809,0.9953528593263,0.9934044457599233,4521043.0
weighted avg,0.9939764112023639,0.9939111395312984,0.9939271296362246,4521043.0
